Branch,Kabupaten,Type,Name,Address,Telephone,Class,Kecamatan,Lat,Long
PEMATANG SIANTAR,PEMATANG SIANTAR,P1,PUSKESMAS KESATRIA,Jl.Pdt.Justin Sihombing,081362426915,,,,
PEMATANG SIANTAR,PEMATANG SIANTAR,P1,PUSKESMAS TOMUAN,Jl.Pattimura Ujung,081260004795,,,,
PEMATANG SIANTAR,PEMATANG SIANTAR,P1,PUSKESMAS PARSOBURAN,Jl.Parsoburan Nomor 22 P Siantar,0622 211193,,,,
PEMATANG SIANTAR,PEMATANG SIANTAR,P1,PUSKESMAS MARTIMBANG,Jl Toba II,08116204978,,,,
PEMATANG SIANTAR,PEMATANG SIANTAR,P1,PUSKESMAS PARDAMEAN,Jl Mangga Ujung P Siantar,081396229544,,,,
PEMATANG SIANTAR,PEMATANG SIANTAR,P1,PUSKESMAS AEK NAULI,Jl Rikardo Siahaan,081373387111,,,,
PEMATANG SIANTAR,PEMATANG SIANTAR,P1,PUSKESMAS BAH BIAK,Jl Manunggal Karya ,  - ,,,,
PEMATANG SIANTAR,PEMATANG SIANTAR,P1,PUSKESMAS KARTINI,Jl. Kartini P.Siantar,085275549888,,,,
PEMATANG SIANTAR,PEMATANG SIANTAR,P1,PUSKESMAS SINGOSARI,Jl.Singosari,081376237476,,,,
PEMATANG SIANTAR,PEMATANG SIANTAR,P1,PUSKESMAS RAYA,Jl.Raya,081361318325,,,,
PEMATANG SIANTAR,PEMATANG SIANTAR,P1,PUSKESMAS KARO,Jl.Pane Nomor 2 P Siantar,081361279429,,,,
PEMATANG SIANTAR,PEMATANG SIANTAR,P1,PUSKESMAS MARTOBA,Jl.T B Simatupang Nomor 117,08126367698,,,,
PEMATANG SIANTAR,PEMATANG SIANTAR,P1,PUSKESMAS KAHEAN,Jl.Tualang,081376614771,,,,
PEMATANG SIANTAR,PEMATANG SIANTAR,P1,PUSKESMAS BANE,Jl Nanggar Suasah Nomor 22 P Siantar,081361212558,,,,
PEMATANG SIANTAR,PEMATANG SIANTAR,P1,PUSKESMAS GURILLA,Jl Gurilla P Siantar,081375256232,,,,
PEMATANG SIANTAR,PEMATANG SIANTAR,P1,PUSKESMAS RAMI,"Jl.Medan Km.4,5",081361415117,,,,
PEMATANG SIANTAR,PEMATANG SIANTAR,P1,PUSKESMAS BP.NAULI,Kelurahan BP Nauli,08126431259,,,,
PEMATANG SIANTAR,PEMATANG SIANTAR,P1,PUSKESMAS SIMARIMBUN,Jl.D.I Panjaitan Simp.2,,,,,
PEMATANG SIANTAR,PEMATANG SIANTAR,P1,PUSKESMAS BAHKAPUL,Desa Bahkapul Kec S.martoba,,,,,
PEMATANG SIANTAR,PEMATANG SIANTAR,P2,"dr.Antonius Sima Purba,M.Epid",Jl.Pdt.J.Wismar Saragih P.Siantar,081396344569,,,,
PEMATANG SIANTAR,PEMATANG SIANTAR,P4,KLINIK SERASI,JL. AHMAD YANI NO. 179 P. SIANTAR,0811632573,,,,
PEMATANG SIANTAR,PEMATANG SIANTAR,P4,KLINIK SIMA HUSADA,JL. SANGNAWALUH NO. 36 P. SIANTAR,06227550123,,,,
PEMATANG SIANTAR,PEMATANG SIANTAR,P4,KLINIK SILOAM,JL. SUDIRMAN NO. 23 P.SIANTAR,062228258,,,,
PEMATANG SIANTAR,PEMATANG SIANTAR,P4,KLINIK SUMBER SEHAT,JL. KAPTEN TANDEAN BLOK D 8 SIANTAR TIMUR,08126574736,,,,
PEMATANG SIANTAR,PEMATANG SIANTAR,P4,KLINIK MURNI,JL. MELANTHON SIREGAR NO. 206 KEC. SIANTAR MARIHAT,08116204978,,,,
PEMATANG SIANTAR,PEMATANG SIANTAR,P5,Polkes Tk I TNI,JL. GUNUNG SIMANUK-MANUK NO. 6,,,,,
PEMATANG SIANTAR,PEMATANG SIANTAR,P6,Poliklinik Polres Pematang Siantar,Jl Sudirman Pematang Siantar,,,,,
PEMATANG SIANTAR,PEMATANG SIANTAR,L1,RSUD Dr. DJASAMEN SARAGIH,JL. SUTOMO NO. 230,,B,,,
PEMATANG SIANTAR,PEMATANG SIANTAR,L2,RS TENTARA TK IV,JL. GUNUNG SIMANUK-MANUK NO. 6,,D,,,
PEMATANG SIANTAR,PEMATANG SIANTAR,L4,RSU VITA INSANI,JL. Merdeka P. Siantar,,C,,,
PEMATANG SIANTAR,PEMATANG SIANTAR,S1,Apotek Sejahtera,JL. Sutomo No. 251 PS Kel. Dwikora,0621-23153,,,,
PEMATANG SIANTAR,PEMATANG SIANTAR,S3,Optik Larisma,Jl. Merdeka No. 32 P. Siantar,0622-24933,,,,
PEMATANG SIANTAR,PEMATANG SIANTAR,S3,Optik Simalungun,Jl. Sutomo No. 98 P.Siantar,0622-7020299,,,,
PEMATANG SIANTAR,PEMATANG SIANTAR,S3,Optik Horas,Jl. Sutomo No. 137 P.Siantar,0622-23297,,,,
PEMATANG SIANTAR,SIMALUNGUN,P1,PUSKESMAS SERIBUDOLOK,Seribudolok,081361361783,,,,
PEMATANG SIANTAR,SIMALUNGUN,P1,PUSKESMAS PEM.RAYA,Pematangraya,081248211770,,,,
PEMATANG SIANTAR,SIMALUNGUN,P1,PUSKESMAS TANAH JAWA,Tanah Jawa,081263681919,,,,
PEMATANG SIANTAR,SIMALUNGUN,P1,PUSKESMAS RAJA MALIGAS,Raja Maligas,08126200422,,,,
PEMATANG SIANTAR,SIMALUNGUN,P1,PUSKESMAS HUTA BAYU,Huta Bayu,081361710841,,,,
