Branch,Kabupaten,Type,Name,Address,Telephone,Class,Kecamatan,Lat,Long
MAKASSAR,MAKASSAR,P1,MARADEKAYA,"Jl. Sungai Saddang Baru Lr.5 No.27 Kel. Mandekaya, Kec. Makassar",0411-457326,,,,
MAKASSAR,MAKASSAR,P1,PATTINGALLOANG,"Jl. Barukang VI No.15, Kel. Pattingalloang Lama, Kec. Ujung Tanah",0411-438615,,,,
MAKASSAR,MAKASSAR,P1,JUMPANDANG BARU,"Jl. Ade Irma Nasution Blok C No.1, Kel. Rappo Jawa, Kec. Tallo",0411-448359,,,,
MAKASSAR,MAKASSAR,P1,ANDALAS,"Jl. Sangir Lr.209 No.6, Kel. Melayu, Kec. Wajo",0411-320754,,,,
MAKASSAR,MAKASSAR,P1,TARAKAN,"Jl. Kondingareng Lr.181 No.5, Kel. Malimongan Tua, Kec. Wajo",0411-327996,,,,
MAKASSAR,MAKASSAR,P1,PERTIWI,"Jl. Cendrawasih III No. 2, Kel. Mariso, Kec. Mariso",0411-857230,,,,
MAKASSAR,MAKASSAR,P1,DAHLIA,"Jl. Seroja No.3, Kel. Kampung Buyang, Kec. Mariso",0411-878303,,,,
MAKASSAR,MAKASSAR,P1,PANAMBUNGAN,"Jl. Rajawali Lr.13B No.13, Kel. Panambungan, Kec. Mariso",0411-855761,,,,
MAKASSAR,MAKASSAR,P1,MAKKASAU,"Jl. Ratulangi, Kec. Ujung Pandang",0411-3623866,,,,
MAKASSAR,MAKASSAR,P1,MALIMONGAN BARU,"Jl. Pontiku Lr.5 No.1, Kel. Malimongan Baru, Kec. Bontoala",0411-439428,,,,
MAKASSAR,MAKASSAR,P1,LAYANG,"Jl. Tinumbu Lr.148 No.1-2, Kel. Layang, Kec. Bontoala",0411-321502,,,,
MAKASSAR,MAKASSAR,P1,BATUA,"Jl. Abd Daeng Sirua No.338 Kel. Tello Baru, Kec. Panakkukang",0411-493808,,,,
MAKASSAR,MAKASSAR,P1,ANTANG,"Jl. Antang Raya No.43, Kel. Antang, Kec. Manggala",81342425654,,,,
MAKASSAR,MAKASSAR,P1,KARUWISI,"Jl. Urip Sumiharjo Lr.2, Kel. Karuwisi, Kec. Panakkukang",0411-448808,,,,
MAKASSAR,MAKASSAR,P1,ANTANG PERUMNAS,"Jl. Lasuloro Kel. Manggalo, Kec. Manggala",0411-492490,,,,
