Branch,Kabupaten,Type,Name,Address,Telephone,Class,Kecamatan,Lat,Long
JAYAPURA,KOTA JAYAPURA,P1,Jayapura Utara,"Jl. A. Yani 70 A Jayapura, Distrik Jayapura Utara",967535702,,,,
JAYAPURA,KOTA JAYAPURA,P1,Imbi,"Kelurahan Imbi, Distrik Jayapura Utara",967541176,,,,
JAYAPURA,KOTA JAYAPURA,P1,Tanjung Ria,"Kelurahan Tanjung Ria, Distrik Jayapura Utara",967541031,,,,
JAYAPURA,KOTA JAYAPURA,P1,Hamadi,"Jl. Perikanan Hamadi, Distrik Jayapura Selatan",967534349,,,,
JAYAPURA,KOTA JAYAPURA,P1,Elly Uyo,"Jl. Raya Entrop (Polimak), Distrik Jayapura Selatan",967532364,,,,
JAYAPURA,KOTA JAYAPURA,P1,Kotaraja,"Jl. Raya Abepura Kotaraja, Distrik Jayapura Selatan ",967584417,,,,
JAYAPURA,KOTA JAYAPURA,P1,Abepura,"Jl. Raya Sentani, Distrik Abepura",967583274,,,,
JAYAPURA,KOTA JAYAPURA,P1,Waena,"Jl. Dafonsoro Perumnas I Waena, Distrik Heram",967571343,,,,
JAYAPURA,KOTA JAYAPURA,P1,Koya Barat,"Jl. Koya Barat, Distrik Muara Tami",81344369896,,,,
JAYAPURA,KOTA JAYAPURA,P1,Abe Pantai,"Jl. Raya Abe Pantai, Distrik Abepura",81354065156,,,,
JAYAPURA,KOTA JAYAPURA,P1,Skow Mabo,"Kampung Skow Mabo, Distrik Muara Tami",85244277419,,,,
JAYAPURA,KOTA JAYAPURA,P1,Yoka,"Kampung Yoka, Distrik Heram",85244388333,,,,
JAYAPURA,KOTA JAYAPURA,P2,dr. Eddy Trisno,"Apotek Entrop Sejahtera, Jl. Raya Abepura - Entrop",08124867728,,,,
JAYAPURA,KOTA JAYAPURA,P2,dr. Zam Zam Pahlafi,Apotek Tiara I - Jl. Raya Abepura,081330578006,,,,
JAYAPURA,KOTA JAYAPURA,P2,dr. Ade S. Cahyani,"Apotek Sehat, Jl. Irian No. 25 Jayapura",08124801065,,,,
JAYAPURA,KOTA JAYAPURA,P2,dr. Esterini Eliazar,"Apotek Nusantara Baru, Jl. Cigombong - Kotaraja",08124804722,,,,
JAYAPURA,KOTA JAYAPURA,P2,dr. Yani Kurniati,"Apotek Soleh Brother, Raya Sentani Ð Waena No. 38",081248107017,,,,
JAYAPURA,KOTA JAYAPURA,P2,dr. Hidayahtu Samawiyah,"Apotek Husada, Jl. Sulawesi No.57 Dok IX Jayapura",081344377690,,,,
JAYAPURA,KOTA JAYAPURA,P2,dr. Risna Amir,"Apotek Inti Farmasi, Jl. Percetakan No.17 Jayapura",08124804269,,,,
JAYAPURA,KOTA JAYAPURA,P2,dr. Jhon U.F.M Kembuan,"Apotek Bunda, Jl. Raya Kotaraja - Abepura",08124874187,,,,
JAYAPURA,KOTA JAYAPURA,P2,dr. J.V Purwoatmodjo Gunawan,"Apotek Sinar Bahari, Jl. Ahmad Yani No.44 Jayapura",0811480583,,,,
JAYAPURA,KOTA JAYAPURA,P2,dr. Evi Toriki,"Apotek Waena Jaya, Jl. Raya Sentani -Waena",082198251177,,,,
JAYAPURA,KOTA JAYAPURA,P2,dr. Hesti Purikasari,"Apotek Dian Farma, Kompleks Ruko Polimak Asri No. B3 Ardipura II - Jayapura",081334748137,,,,
JAYAPURA,KOTA JAYAPURA,P2,dr. Meilani Tjong,"Apotek Sakura, Jl. Ayapo No.9 Abepura",085240904230,,,,
JAYAPURA,KOTA JAYAPURA,P2,dr. Yulianitha Rapa,"Apotek Kimia Farma 172 Cenderawasih, Jl. Jalan Ahmad Yani No. 67 Jayapura ",081241346655,,,,
JAYAPURA,KOTA JAYAPURA,P3,drg. Juliana Napitupulu,Jalan Jend. Ahmad Yani - Paldam Jayapura,081344360654,,,,
JAYAPURA,KOTA JAYAPURA,P3,drg. Aidasriwaty Gasma,"Apotek Arsita Ratu 3, Jl. Raya Padangbulan - Abepura",081354904552,,,,
JAYAPURA,KOTA JAYAPURA,P3,drg. Adolf Haurissa,"Apotek Nusantara Baru, Jl. Cigombong - Kotaraja",08124889744,,,,
JAYAPURA,KOTA JAYAPURA,P3,drg. Novita Manurung,"Apotek K-24, Jalan Nusa Tenggara No. 1 Dok V Jayapura",08123264752,,,,
JAYAPURA,KOTA JAYAPURA,P5,BP Amphibi,Jl. Amphibi No.1 Hamadi,,,,,
JAYAPURA,KOTA JAYAPURA,P5,Polma Kodam,Kompleks Kodam - Polimak,,,,,
JAYAPURA,KOTA JAYAPURA,P5,Poliklinik Denkesyah Waena,"Jl. Raya Sentani, Distrik Heram - Waena",,,,,
JAYAPURA,KOTA JAYAPURA,P6,Poliklinik Polda Papua,Jl. Samratulangi No.8 Jayapura,,,,,
JAYAPURA,KOTA JAYAPURA,P6,Poliklinik Polresta Jayapura,Jl. Gurabesi Jayapura,,,,,
JAYAPURA,KOTA JAYAPURA,P6,Poliklinik SPN Jayapura,"Kompleks SPN - Base G, Jayapura",,,,,
JAYAPURA,KOTA JAYAPURA,P6,Poliklinik Brimobda,Jl. Raya Abepura No.1 ,,,,,
JAYAPURA,KOTA JAYAPURA,L1,RSUD JAYAPURA,JL. KESEHATAN JAYAPURA,(0967)533616,B,,,
JAYAPURA,KOTA JAYAPURA,L1,RSUD ABEPURA,JL. KESEHATAN ABEPURA,(0967)581064,C,,,
JAYAPURA,KOTA JAYAPURA,L2,RS TNI ANGKATAN LAUT,JL.AMPHIBI HAMADI JAYAPURA,,C,,,
JAYAPURA,KOTA JAYAPURA,L2,RS TNI AD MARTHEN INDEY,JL.ARYOKO JAYAPURA,(0967)532491,C,,,
JAYAPURA,KOTA JAYAPURA,L3,RS BHAYANGKARA TK III.JAYAPURA,JL.JERUK NIPIS VURIA KOTARAJA,(0967)587787,C,,,
JAYAPURA,KOTA JAYAPURA,L4,RS DIAN HARAPAN,JL.YABANSAI HERAM,(0967)573479,C,,,
JAYAPURA,KOTA JAYAPURA,L5,RS KHUSUS JIWA,JL. KESEHATAN JAYAPURA,(0967)581267,C,,,
JAYAPURA,KOTA JAYAPURA,S1,Apotek Kimia Farma,Kompleks RSUD Dok II Jayapura,085344019729,,,,
JAYAPURA,KOTA JAYAPURA,S1,Apotik Berkat Jaya,Jl. Kesehatan Abepura,081344370473,,,,
JAYAPURA,KOTA JAYAPURA,S3,OPTIKAL INTERNASIONAL JAYAPURA,JL. PERCETAKAN NO. 76 JAYAPURA,(0967) 521417,,,,
JAYAPURA,KOTA JAYAPURA,S3,OPTIK INTERNASIONAL ABEPURA,JL. RAYA ABEPURA,(0967) 588821,,,,
JAYAPURA,JAYAWIJAYA,P1,Wamena Kota,Distrik Wamena,,,,,
JAYAPURA,JAYAWIJAYA,P1,Hom-Hom,Distrik Hubikosi,,,,,
JAYAPURA,JAYAWIJAYA,P1,Hubikosi,Distrik Hubikosi,,,,,
JAYAPURA,JAYAWIJAYA,P1,Asologaima,Distrik Asologaima,,,,,
JAYAPURA,JAYAWIJAYA,P1,Musatfak,Distrik Musatfak,,,,,
JAYAPURA,JAYAWIJAYA,P1,Pelebaga,Distrik Pelebaga,,,,,
JAYAPURA,JAYAWIJAYA,P1,Asolokobal,Distrik Asolokobal,,,,,
JAYAPURA,JAYAWIJAYA,P1,Walelagama,Distrik Walegama,,,,,
JAYAPURA,JAYAWIJAYA,P1,Kurulu/jiwika,Distrik Kurulu,,,,,
JAYAPURA,JAYAWIJAYA,P1,Bolakme,Distrik Bolakme,,,,,
JAYAPURA,JAYAWIJAYA,P1,Yalengga,Distrik Yalengga,,,,,
JAYAPURA,JAYAWIJAYA,P1,Wolo,Distrik Wolo,,,,,
JAYAPURA,JAYAWIJAYA,P5,Poskes Wamena,"Jl. Yos Sudarso, Wamena Kota",,,,,
JAYAPURA,JAYAWIJAYA,P5,Sikes Yonif 756,"Jl. Wamena Kimbim, Kel. Meagama, Wamena",,,,,
JAYAPURA,JAYAWIJAYA,P6,Poliklinik Polres Jayawijaya,Jl. Safri Darwin No.1 Wamena,,,,,
JAYAPURA,JAYAWIJAYA,L1,RSUD WAMENA,JL.TRIKORA NO 9,(0967)31152,D,,,
JAYAPURA,MIMIKA,P1,Timika  ,Distrik Mimika Baru,81240248665,,,,
JAYAPURA,MIMIKA,P1,Timika Jaya,"Kampung Timika Jaya, Distrik Mimika Baru",,,,,
JAYAPURA,MIMIKA,P1,Kwamki,"Kampung Kwamki, Distrik Mimika Baru",81344805091,,,,
JAYAPURA,MIMIKA,P1,Mapuru Jaya,Distrik Mimika Timur,81343333120,,,,
JAYAPURA,MIMIKA,P1,Atuka,Kampung Atuka Distrik Mimika Timur Tengah,,,,,
JAYAPURA,MIMIKA,P1,Ayuka,"Kampung Ayuka, Distrik Mimika Timur Jauh",,,,,
JAYAPURA,MIMIKA,P1,Kokonao,"Kokonao, Distrik Mimika Barat",,,,,
JAYAPURA,MIMIKA,P1,Wakia,Distrik Mimika Barat Tengah,,,,,
JAYAPURA,MIMIKA,P1,Potowaybiru,Distrik Mimika Barat Jauh,,,,,
JAYAPURA,MIMIKA,P1,Agimuga,"Kampung Kiliarma, Distrik Agimuga",81344793216,,,,
JAYAPURA,MIMIKA,P1,Jita,Distrik Jita,,,,,
JAYAPURA,MIMIKA,P1,Jila,Distrik Jila,81240234447,,,,
JAYAPURA,MIMIKA,P1,Limau Asri,Distrik Mimika Baru,82394712062,,,,
JAYAPURA,MIMIKA,P2,dr. King Alexsander,"Klinik Said, Jalan Yos Sudarso Timika",081340897011,,,,
JAYAPURA,MIMIKA,P2,dr. Sieltiel,"Apotek Elstar, Jalan Pendidikan Mimika ",085242166700,,,,
JAYAPURA,MIMIKA,P2,dr. Ronald Tikuali,"Apotek Mulia, Jl. Ahmad Yani - Timika",,,,,
JAYAPURA,MIMIKA,P2,dr. Juliana Galingging,"Jl. Yos Sudarso - Nawaripi, Timika",081219717404,,,,
JAYAPURA,MIMIKA,P3,drg. Risnawati Sirait,Jl. Budi Utomo No.60 Timika,081228521077,,,,
JAYAPURA,MIMIKA,P5,Sikes Lanal,Portside (Pelabuhan Freeport) - Mimika,,,,,
JAYAPURA,MIMIKA,P5,Sikes Lanud Gunadi,"Jl. Airport No.1 Kwamki Baru, Timika",,,,,
JAYAPURA,MIMIKA,P5,Sikes Sastrad 243,Distrik Mimika Baru,,,,,
JAYAPURA,MIMIKA,P5,Rumkitban 17.08.02/Mimika,"Jl. Pattimura No.1 koperapoka, Distrik Mimika Baru",,,,,
JAYAPURA,MIMIKA,P5,KSA Brigiv 20/IJK,"Jl. Mapuru Jaya, Distrik Mimika Timur",,,,,
JAYAPURA,MIMIKA,P5,KSA Denkav-3,"Jl. Agimuga, Kuala Kencana - Timika",,,,,
JAYAPURA,MIMIKA,P5,Sikes Yonif 754,Jl. Nabire Mile 32 Kuala Kencana - Timika,,,,,
JAYAPURA,MIMIKA,P6,Poliklinik Polres Mimika,Jl. Agimuga No.3 Timika,,,,,
JAYAPURA,MIMIKA,L1,RSUD MIMIKA,JL.YOS SUDARSO,,C,,,
JAYAPURA,MIMIKA,L4,RS MITRA MASYARAKAT,JL.CARITAS NO 1 SP 2,0811493700,C,,,
JAYAPURA,MIMIKA,S1,Apotek Orpa,Jl. Yos Sudarso - Nawaripi (depan RSUD Mimika),085242166700,,,,
JAYAPURA,MIMIKA,S3,OPTIKAL INTERNASIONAL TIMIKA,JL. YOS SUDARSO MIMIKA,,,,,
JAYAPURA,YAHUKIMO,P1,Dekai,Distrik Dekai,,,,,
JAYAPURA,YAHUKIMO,P1,Suru-Suru,Distrik Suru-Suru,,,,,
JAYAPURA,YAHUKIMO,P1,Silimo,Distrik Silimo,,,,,
JAYAPURA,YAHUKIMO,P1,Kurima,Distrik Kurima,,,,,
JAYAPURA,YAHUKIMO,P1,Anggruk,Distrik Anggruk,,,,,
JAYAPURA,YAHUKIMO,P1,Nalca,Distrik Nalca,,,,,
JAYAPURA,YAHUKIMO,P1,Ninia,Distrik Ninia,,,,,
JAYAPURA,YAHUKIMO,P1,Sela,Distrik Sela,,,,,
JAYAPURA,YAHUKIMO,P1,Langda,Distrik Langda,,,,,
JAYAPURA,YAHUKIMO,P1,Nipsan,Distrik Nipsan,,,,,
JAYAPURA,YAHUKIMO,P1,Sumo,Distrik Sumo,,,,,
JAYAPURA,YAHUKIMO,P1,Holuwun,Distrik Holuwon,,,,,
JAYAPURA,YAHUKIMO,P1,Korupun,Distrik Korupun,,,,,
JAYAPURA,YAHUKIMO,P1,Kosarek,Distrik Kosarek,,,,,
JAYAPURA,YAHUKIMO,P1,Seredala,Distrik Seradala,,,,,
JAYAPURA,YAHUKIMO,P1,Soba,Distrik Soba,,,,,
JAYAPURA,YAHUKIMO,P1,Pasema,Distrik Pasema,,,,,
JAYAPURA,YAHUKIMO,P1,Mugi,Ditrik Mugi ,,,,,
JAYAPURA,YAHUKIMO,P1,Amuma,Distrik Amuma,,,,,
JAYAPURA,YAHUKIMO,P1,Lolat,Distrik Lolat,,,,,
